0334 p1|xpos
031A p1|ypos
0335 p2|xpos
| p2|ypos
001A timer|(flames)
034B tanks
0681 enemy|hp
067E enemy|hp
067F enemy|hp
0680 enemy|hp
057D enemy|hp
057E enemy
0064 X|scroll|2nd|byt
0065 X|scroll
0582 enemy|HP
0583 enemy|HP
0584 enemy|HP
0585 enemy|HP
0586 enemy|HP
0587 enemy|HP
05F6 lv4|boss|HP
05F5 lv4|boss|HP
05C7 lv2|boss|HP
00FC vertical|scroll
