0480 T|xpos
0490 x|subpix
0460 T|ypos
00fd camera|x
0050 camera|x|2nd
007D bombs|defused
04c0 X|Pix|speed
04f0 X|sub|speed
007A Don|health
0470 y|subpixel
0078 raph|health
0079 mich|health
0055 techno|location
0565 E|hp
0505 invuln
0566 E|hp
0506 invuln
0567 E|hp
0507 invuln
0568 E|hp
0508 invuln
0569 E|hp
03D8 drop|#
0604 Enemy|Set
